"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"LBH"	72.49	62.5	37.13	44.31	63.22	56.43	51.65	62.13	54.11	58.36	-0.11	0.584691120491581	0.63383697487159	-0.0217824672828241
"LBHD1"	1.98	2.46	1.42	2.18	3.16	3.1	5.61	4.3	2.01	4.04	-0.74	0.00197282271283486	0.0117742833061668	-1.42750848380037
"LBHD2"	0	0	0	0	0.08	0	0	0.08	0	0.04	-0.06	1	1	0
"LBP"	0.04	0.06	0	0	0.02	0	0	0	0.03	0.01	0.03	1	1	0
"LBR"	12.5	12.42	20.03	15.01	12.23	16.05	18.21	16.29	14.99	15.7	-0.06	0.328565772923748	0.375850673287991	-0.0254990800460793
"LBX1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LBX2"	3.77	2.08	2.43	3.03	2.82	2.53	2.57	2.77	2.83	2.67	0.06	0.126431757459052	0.171893180884385	0.0458844811031485
"LCA5"	4.56	4.06	5.1	4.7	4.18	3.23	4.49	3.24	4.61	3.79	0.23	0.021265610260199	0.0513525988837519	0.296570641668006
"LCA5L"	2.05	1.16	3.94	2.12	1.47	1.02	2.17	1.22	2.32	1.47	0.43	0.154994307086753	0.201593485348232	0.299075107823782
"LCAT"	21.22	15.95	21.1	17.18	11.02	10.04	12.44	6.33	18.86	9.96	0.86	0.000295859134550766	0.00361004356114603	2.10053929952013
"LCE1A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE1B"	0.05	0.07	0	0.14	0.08	0	0	0	0.06	0.02	0.06	1	1	0
"LCE1C"	0.23	0.15	0	0	0.32	0	0	0	0.09	0.08	0.02	1	1	0
"LCE1D"	0	0	0	0	0.2	0	0	0	0	0.05	-0.07	1	1	0
"LCE1E"	0.58	0.33	0.31	0	0	0.35	0.13	0.04	0.3	0.13	0.21	1	1	0
"LCE1F"	0	0.07	0	0	0.08	0	0	0	0.02	0.02	0	1	1	0
"LCE2A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE2B"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE2C"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE2D"	0	0	0.21	0	0	0	0	0	0.05	0	0.07	1	1	0
"LCE3A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE3B"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE3C"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE3D"	0.67	0.09	0.42	0	0.41	0	0	0	0.3	0.1	0.23	1	1	0
"LCE3E"	0.3	1.24	0.21	0	0.42	0.57	0.37	0	0.44	0.34	0.1	1	1	0
"LCE4A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE5A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE6A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCE7A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCK"	0.46	0.07	0	0.06	0.18	0.04	0.03	0.09	0.15	0.09	0.08	1	1	0
"LCLAT1"	17.32	17.21	16.46	16.37	16.62	13.33	15.5	11.43	16.84	14.22	0.23	0.0346339264406426	0.0684697761793343	0.267835251112716
"LCMT1"	44.56	46.23	45.91	45.85	41.09	34.46	34.34	37.17	45.64	36.77	0.3	0.00685531831455565	0.0264144567256972	0.473447495146244
"LCMT2"	3.36	2.48	2.31	2.72	4.22	4.66	6.35	5.66	2.72	5.22	-0.74	0.000204405700227512	0.00295489778735486	-1.87179857750608
"LCN1"	0.8	1.8	1.53	1.47	0.14	0.16	1.07	0.38	1.4	0.44	0.74	0.00308423567528595	0.0157974511259131	1.33304560488943
"LCN10"	0	0	0	0	0.05	0	0	0.05	0	0.02	-0.03	1	1	0
"LCN12"	0.07	0.78	2.45	1.12	0.86	0.44	1.07	1.2	1.11	0.89	0.15	1	1	0
"LCN15"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCN2"	3944.65	2004.86	1610.36	2064.98	11221.81	7746.31	5787.45	6752.24	2406.21	7876.95	-1.71	2.32663432154155e-05	0.00115656645726148	-5.02197828641057
"LCN6"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCN8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCN9"	0	0	0.03	0	0.03	0	0	0	0.01	0.01	0	1	1	0
"LCNL1"	0	0.04	0	0	0	0	0	0	0.01	0	0.01	1	1	0
"LCOR"	17.61	14.84	19.61	15.7	22.04	19.61	21.43	21.59	16.94	21.17	-0.31	0.0042867985376965	0.0197307388006419	-0.528505562323935
"LCORL"	5.45	4.56	6.8	5.34	4.66	5.04	5.83	5.9	5.54	5.36	0.04	0.0832089016528596	0.124979611940251	0.0361264331257648
"LCP1"	4.96	10.01	4.23	6.7	7.42	6.36	3.38	8.42	6.48	6.4	0.02	1	1	0
"LCP2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LCT"	0.02	0	0.01	0.01	0	0.02	0	0.01	0.01	0.01	0.01	1	1	0
"LCTL"	0.18	0.24	0.5	0.27	0.48	0.28	0.58	0.67	0.3	0.5	-0.21	0.0459244687808665	0.0819723727018044	-0.228129823743541
"LDAF1"	95.94	70.29	71.49	72.93	106.11	61.71	52.81	77.69	77.66	74.58	0.06	1	1	0
"LDAH"	11.78	12.97	10.35	14.96	17.94	14.3	17.79	23.27	12.52	18.33	-0.52	0.00662312671731509	0.025892193749266	-0.825152198962114
"LDB1"	65.8	65.07	59.92	71.69	64.19	68.75	73.74	74.05	65.62	70.18	-0.1	0.0198419429237898	0.0491950543419106	-0.130807855536228
"LDB2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LDB3"	0.28	0.38	0.37	0.26	0.4	0.22	0.28	0.47	0.32	0.34	-0.02	0.203148547794489	0.251383787370369	-0.011993254698684
"LDHA"	1779.79	1556.01	1441.7	1505.34	873.04	585.21	368.22	300.97	1570.71	531.86	1.56	1.59962936510792e-05	0.0010273825013772	4.66169782346652
"LDHAL6A"	0.41	0.29	0.43	0.32	0.55	0.68	1.06	0.96	0.36	0.81	-0.41	0.00458238818240428	0.0205650119894715	-0.691617123513428
"LDHAL6B"	0.42	0.38	0.58	0.57	0.54	0.21	0.52	0.3	0.49	0.39	0.1	0.176526859911703	0.224043496588369	0.0649667658029791
"LDHB"	488.82	484.21	402.77	529.97	513.78	434.24	404.28	405.27	476.44	439.39	0.12	0.153378696108434	0.200002981725404	0.0838756235579803
"LDHC"	1.9	0.18	0.52	0.49	1.85	0.6	0.41	0.4	0.77	0.81	-0.03	1	1	0
"LDHD"	1.39	2.24	1.38	3.63	1.39	2.43	1.37	4.55	2.16	2.44	-0.12	1	1	0
"LDLR"	63.88	71.76	44.81	26.18	62.12	31.32	32.16	19.43	51.66	36.26	0.5	0.01013903025237	0.0333978359162586	0.738140836655242
"LDLRAD1"	2.51	2.08	2.7	2.49	1.54	1.17	3.41	1.49	2.44	1.9	0.25	0.136357083500551	0.182093978524634	0.184926103799433
"LDLRAD2"	0.47	0.45	0.51	0.57	0.66	0.68	0.82	0.63	0.5	0.7	-0.18	0.0543316971591472	0.0917010768046934	-0.186772601623384
"LDLRAD3"	2.15	1.55	1.08	1	1.6	1.32	1.43	1.06	1.45	1.35	0.06	0.0913306850902234	0.134353386900966	0.0523050828604241
"LDLRAD4"	0.51	0.87	0.39	0.27	0.71	0.84	2.81	0.99	0.51	1.34	-0.63	0.0325959255901097	0.0660792707545232	-0.743358897854958
"LDLRAP1"	9.23	8.75	10.8	9.42	10.21	11.14	13.15	11.27	9.55	11.44	-0.24	0.00807080535612802	0.0291546300576286	-0.368470191590349
"LDOC1"	10.34	9.92	14.45	14.84	9.58	13.91	14.49	15.42	12.39	13.35	-0.1	0.0441322018837804	0.0798110824764987	-0.109793679882213
"LEAP2"	0.98	1.29	1.76	1.6	0.48	1.14	0.84	0.92	1.41	0.84	0.39	0.0615419349999201	0.100258099680984	0.389563407238004
"LECT2"	1.31	2.16	1.3	1.21	1.57	1.54	1.66	1.54	1.49	1.57	-0.05	0.177059183406109	0.224646862984154	-0.032424982080386
"LEF1"	0	0	0	0.01	0	0	0.02	0	0	0.01	0	1	1	0
"LEFTY1"	0	0	0	0	0.03	0.13	0	0	0	0.04	-0.05	1	1	0
"LEFTY2"	0.07	0.05	0	0	0	0	0	0.02	0.03	0.01	0.04	1	1	0
"LEKR1"	1.07	0.57	1.21	0.76	0.67	1.27	1.09	1.56	0.9	1.15	-0.17	0.191967454255676	0.239784636246249	-0.105430369982418
"LELP1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LEMD1"	7.88	3.2	1.6	3.19	8.96	1.17	0.58	0.67	3.97	2.84	0.37	0.0801854338788712	0.121618683629118	0.338549889590204
"LEMD2"	66.1	73.3	71.9	75.26	59.96	70.78	65.62	59.47	71.64	63.96	0.16	0.0157389291790916	0.0431270154523762	0.218440095293589
"LEMD3"	12.98	14.5	17.73	16.39	14.77	16.65	18.37	17.51	15.4	16.83	-0.12	0.0121484019495281	0.0372016824782251	-0.171532490199702
"LENEP"	0.67	0.14	0.48	0.66	0.1	0.26	0.64	0.25	0.49	0.31	0.18	1	1	0
"LENG1"	17.53	22.14	21.48	22.49	15.09	14.74	18.36	15.75	20.91	15.98	0.37	0.00329765244566526	0.0164875425857437	0.659652305790136
"LENG8"	70.5	99.22	111.13	102.54	70.28	97.13	118.56	91.32	95.85	94.32	0.02	0.681374904381774	0.730470916167788	0.00272794141798289
"LENG9"	5.51	4.28	3.78	4.65	8.55	6.83	8.62	9.38	4.56	8.34	-0.75	0.000192301863226628	0.0028774191591427	-1.9057476517462
"LEO1"	26.35	30.6	33.07	36.79	31.08	35.79	36.57	39.31	31.7	35.69	-0.17	0.00923871971107427	0.0315949803637388	-0.255064924736323
"LEP"	0.1	0.16	0.11	0.08	0.13	0.07	0.08	0.04	0.11	0.08	0.05	0.155466224829954	0.201957688048524	0.0347369804811002
"LEPR"	13.9	10.95	9.4	8.02	9.74	5.04	4.66	5.69	10.57	6.28	0.67	0.00172503190200393	0.010771896204523	1.3183642528004
"LEPROT"	46.09	54.34	52.84	47.71	61.5	71.7	78.03	69.05	50.24	70.07	-0.47	0.00106695985610587	0.00791867808579562	-0.987633236564759
"LEPROTL1"	29.58	36.67	37.48	35.02	29.23	27.92	28.69	26.8	34.69	28.16	0.29	0.011019744646774	0.0351004215080659	0.421859423783797
"LETM1"	15.75	17.52	21.54	19.14	15.45	16.87	18.96	16.41	18.49	16.92	0.12	0.0176340146961787	0.0458769268829419	0.160608681779539
"LETM2"	2.75	4.35	4.64	2.45	2.46	2.76	2.74	2.06	3.55	2.51	0.38	0.0701422416299682	0.110230505362935	0.363925316575585
"LETMD1"	41.91	43.65	50.29	47.11	60.25	49.11	69.82	68.6	45.74	61.94	-0.43	0.00182991906841969	0.0112198713614809	-0.838505212606984
"LEUTX"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LEXM"	0.11	0.17	0.15	0.16	0.05	0.1	0.37	0.42	0.15	0.23	-0.11	1	1	0
"LFNG"	3.84	4.77	8.97	2.12	15.42	18.04	28.58	11.77	4.93	18.45	-1.71	0.00109374327076136	0.00803106584999264	-3.58283785043653
"LGALS1"	1046.13	1081.92	362.81	965.78	1137.91	460.47	260.77	291.43	864.16	537.64	0.68	0.100394676634297	0.144167230542073	0.57197074210851
"LGALS12"	0.28	0.08	0.21	0.03	0.07	0.12	0.13	0.17	0.15	0.12	0.03	0.747503215502966	0.796549599023209	0.0029636152997862
"LGALS13"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LGALS14"	0.67	0.39	0.73	0.9	0.93	0.47	0.66	0.08	0.67	0.53	0.13	0.279700261918089	0.327839941686885	0.0629639577048469
"LGALS16"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LGALS2"	0.86	0.41	0.54	0.39	0.57	0.62	0.26	0.48	0.55	0.48	0.07	1	1	0
"LGALS3"	422.11	356.2	534.31	442.23	306.98	399.21	689.21	599.82	438.71	498.81	-0.18	0.737876906358761	0.786982287938612	-0.0187263075409025
"LGALS3BP"	544.92	689.83	431.26	692.19	626.67	734.09	538.04	733.65	589.55	658.11	-0.16	0.551090535966966	0.599677066297272	-0.0355332095602408
"LGALS4"	0.59	0.26	0.64	0.29	0.35	0.59	1.25	0.87	0.44	0.77	-0.29	0.149461773085636	0.195914933980723	-0.205300412772941
"LGALS7"	19.99	0.46	0	0	25.83	0	0.15	0	5.11	6.49	-0.29	1	1	0
"LGALS7B"	2.24	0.15	3.66	0	2.02	0.72	0.95	0.52	1.51	1.05	0.29	1	1	0
"LGALS8"	68.98	71.72	98.83	76.97	72.66	68.42	90.51	82.89	79.13	78.62	0.01	0.0869180435056673	0.129185381907842	0.0088878662655715
"LGALS9"	82.23	69.42	71.55	81.08	120.03	121.5	168.09	258.67	76.07	167.07	-1.12	0.000385753938382146	0.00421128054723413	-2.66065612486361
"LGALS9B"	0.78	0.27	0.92	0	0.59	0.13	0.29	1.49	0.49	0.62	-0.12	1	1	0
"LGALS9C"	0.38	0.4	0.81	0.13	1.2	0.08	0.18	0.82	0.43	0.57	-0.14	1	1	0
"LGALSL"	6.63	7.66	7.38	7.99	7.69	1.91	3.64	2.03	7.41	3.81	0.81	0.0123630705944965	0.0375892589377353	1.15419835132382
"LGI1"	0.24	0.13	0.1	0.1	0.19	0.3	0.19	0.27	0.14	0.24	-0.11	0.0810683985886076	0.122675013431725	-0.100236827437561
"LGI2"	0.03	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	0	1	1	0
"LGI3"	0.06	0.36	0.38	0.07	0.28	0.03	0.21	0	0.22	0.13	0.11	1	1	0
"LGI4"	0.6	0.19	0.53	0.24	0.26	0.17	0.15	0.06	0.39	0.16	0.26	0.0134102848214014	0.0393997312843184	0.365171752440967
"LGMN"	51.28	65.79	65.82	78.36	56.05	51.68	46.79	55.63	65.32	52.54	0.31	0.033570583957639	0.0673418801809256	0.363231576314518
"LGR4"	14.51	11.77	16.2	16.38	12.01	10.71	13.7	14.05	14.71	12.62	0.21	0.0306163253063923	0.0636519572351783	0.251199529911996
"LGR5"	0.06	0.04	0.04	0.07	0.02	0.03	0.02	0.02	0.05	0.02	0.04	1	1	0
"LGR6"	0.18	0.26	0.33	0.28	0.1	0.38	0.73	0.5	0.26	0.43	-0.18	0.392259194809008	0.439912166045397	-0.0641941248909987
"LGSN"	0.18	0.09	0.2	0.12	0.12	0.13	0.19	0.11	0.15	0.14	0.01	0.213131009145569	0.260893774067304	0.00583536284719162
"LHB"	1.83	1.5	1.35	0.34	0.89	0.16	0.68	0	1.25	0.43	0.65	0.0125476993075754	0.0379541368314428	0.923481572669026
"LHCGR"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LHFPL1"	0	0.29	0.11	0	0.11	0.35	0.28	0.17	0.1	0.23	-0.16	0.089773815136163	0.132606853723165	-0.140389444647063
"LHFPL2"	25.21	26.91	20.61	30.37	30.3	37.35	21.11	32.8	25.77	30.39	-0.23	0.42105069753008	0.468738103752457	-0.0756860404798414
"LHFPL3"	0	0	0	0.01	0.03	0.03	0	0	0	0.02	-0.02	1	1	0
"LHFPL4"	0.02	0.04	0.08	0.03	0.01	0.06	0.06	0.04	0.04	0.04	0	0.375287846947889	0.422801452463558	0
"LHFPL5"	7.18	7.53	8.37	6.76	7.39	9.53	8.74	9.93	7.46	8.9	-0.23	0.0270711978698169	0.0590041993867567	-0.282696927961515
"LHFPL6"	7.56	7.29	3.42	9.24	9.22	5.82	4.95	7.42	6.88	6.85	0	1	1	0
"LHFPL7"	0.08	0.11	0.09	0.62	0.17	0.27	0.14	0.16	0.22	0.19	0.05	1	1	0
"LHPP"	22.03	20.86	19.03	25.84	21.75	26.18	23.9	29.54	21.94	25.34	-0.2	0.0817753106555412	0.123472506361394	-0.181685947209306
"LHX1"	0.74	0.28	0.17	0.06	0.77	0.17	0.25	0.16	0.31	0.34	-0.03	0.347582047325893	0.394856807648715	-0.0121068111000137
"LHX2"	0	0	0	0.04	0	0	0	0.07	0.01	0.02	-0.01	1	1	0
"LHX3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LHX4"	0.42	0.21	0.35	0.42	0.36	1.03	1.31	1.04	0.35	0.94	-0.52	0.0043934773556025	0.0200519524179326	-0.882878533998363
"LHX5"	0.76	0.96	0.55	0.78	0.54	0.08	0.11	0.22	0.76	0.24	0.51	0.0050335473874918	0.0218055924969664	0.847330375218743
"LHX6"	0.79	0.63	0.55	0.63	0.64	0.48	0.41	0.2	0.65	0.43	0.2	0.100232007028894	0.144102770716362	0.168265533753568
"LHX8"	0	0.02	0	0	0	0	0	0	0	0	0.01	1	1	0
"LHX9"	0.05	0.2	0.14	0	0	0.03	0	0.01	0.1	0.01	0.12	1	1	0
"LIAS"	16.11	15.49	23.89	20.64	14.32	18.49	19.91	16.35	19.03	17.27	0.13	0.0767148015404173	0.117799947394944	0.120751137453514
"LIF"	8.34	9	5.29	3.62	23.81	6.28	6.61	6.56	6.56	10.82	-0.64	0.122052435691776	0.167497152901884	-0.496635245218599
"LIFR"	2.64	1.37	2.54	1.07	5.22	2.54	3.33	2.97	1.91	3.52	-0.64	0.0114556845247737	0.0358523861832033	-0.925108437907315
"LIG1"	14.57	19.57	27.26	27.25	14.64	10.81	13.29	15.16	22.16	13.47	0.68	0.00198271885304666	0.0118164190742332	1.31070959819181
"LIG3"	15.5	18.52	21.39	20.22	14.54	14.42	17.7	20	18.91	16.67	0.17	0.0434103922669671	0.078948900037597	0.187451165798048
"LIG4"	10.54	11.85	11.69	12.59	12.95	13.59	13.61	12.76	11.67	13.23	-0.17	0.0102663728875277	0.0336443766664961	-0.250424877297395
"LILRA1"	0.05	0.03	0.05	0.08	0.05	0.07	0	0	0.05	0.03	0.03	1	1	0
"LILRA2"	0.2	0.16	0.12	0.32	0.09	0.19	0.28	0.24	0.2	0.2	0	0.258470861590574	0.30676047072166	0
"LILRA4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LILRA5"	0.03	0	0.11	0	0	0	0.04	0.04	0.03	0.02	0.02	1	1	0
"LILRA6"	0.51	0.06	0.18	0.3	0.29	0.18	0.22	0.19	0.26	0.22	0.05	0.777601198348014	0.827337906390898	0.00411585385076194
"LILRB1"	0.15	1.14	1.89	0.07	0.26	1.14	1.27	0.08	0.81	0.68	0.11	1	1	0
"LILRB2"	0.03	0.01	0.03	0.02	0.12	0.05	0.05	0.02	0.02	0.06	-0.05	1	1	0
"LILRB3"	0.44	0.23	1.55	0.31	0.55	0.46	3.61	1.84	0.63	1.61	-0.68	0.126622571310558	0.172093319906023	-0.519680471310876
"LILRB4"	0.29	0.33	0.36	0.25	0.33	0.18	0.22	0.2	0.31	0.23	0.09	0.100506030419854	0.144300881874289	0.0756657913292567
"LILRB5"	0.34	0.36	0.4	0.26	0.42	0.35	0.49	0.5	0.34	0.44	-0.1	0.0964355291725307	0.139830188621068	-0.0854399056514714
"LIM2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LIMA1"	214.97	229.22	221.32	230.02	253.25	225.54	224.47	192.59	223.88	223.96	0	0.0162689080694639	0.0438935195324828	0
"LIMCH1"	91.81	100.19	88.48	117.58	120.99	100.78	90.22	82.82	99.52	98.7	0.01	0.687222314125678	0.736539578436279	0.001328039110961
"LIMD1"	9.51	9.86	9.78	9.58	11.7	13.49	11.67	14.11	9.68	12.74	-0.36	0.00112350080103632	0.00817448816344303	-0.751514195047028
"LIMD2"	3.54	1.37	1.55	2.31	5.69	1.56	1.43	2.71	2.19	2.85	-0.27	1	1	0
"LIME1"	5.76	7.14	7.41	7.83	4.05	8.04	6.94	5.39	7.04	6.11	0.18	0.108055469464404	0.152559130754412	0.146981123003072
"LIMK1"	18.82	17.53	17.09	17.73	17.67	16.04	16.26	13.56	17.79	15.88	0.15	0.0120947837144654	0.0371166904581164	0.214564613245625
"LIMK2"	106.45	109.88	96.96	81.05	110.49	140.43	144.22	137.71	98.58	133.21	-0.43	0.00491031606840805	0.0214959094442289	-0.717086995732656
"LIMS1"	28.58	30.38	29.82	35.1	23.49	31.64	44.05	35.64	30.97	33.71	-0.12	0.258441441404044	0.306748616090544	-0.0615860865521525
"LIMS2"	0.23	0.48	0.13	0.28	0.94	0.65	0.37	1.09	0.28	0.76	-0.46	0.0139838176540909	0.0403271982165191	-0.641424897049118
"LIMS3"	0.82	0.58	0.94	0.27	0.47	0.05	0.34	0.33	0.65	0.3	0.35	0.0938296387164787	0.137084190354311	0.302054420022993
"LIMS4"	1.52	1.24	0.6	0.49	0.71	0.53	0.71	0.88	0.96	0.71	0.2	0.338316261478405	0.385607256584701	0.0827709603765387
"LIN28A"	0.35	0.34	0.28	0.21	0.35	0.29	0.34	0.27	0.3	0.31	-0.02	0.121246842860665	0.166710448689005	-0.0155607435924297
"LIN28B"	0.27	0.61	0.34	0.26	0.5	0.55	0.65	0.24	0.37	0.48	-0.11	0.278838387538538	0.326999686923955	-0.0533997929455918
"LIN37"	21.03	24.5	36.58	35.85	16.76	17.82	12.73	15.48	29.49	15.7	0.87	0.00123193053961171	0.00868133414635621	1.79342976881392
"LIN52"	4.46	6.05	6.88	4.48	5.08	3.95	5.79	4.14	5.47	4.74	0.17	0.140610239899989	0.186480151815612	0.123992455606954
"LIN54"	4.46	5.03	6.52	4.89	5.08	7.08	6.61	5.98	5.22	6.19	-0.21	0.0433330555926423	0.0788627640748733	-0.231656881119812
"LIN7A"	3.89	4.79	3.89	8.26	4.63	8.91	3.36	4.84	5.21	5.43	-0.05	1	1	0
"LIN7B"	9.81	12.72	15.22	20.73	10.28	7.14	7.95	5.67	14.62	7.76	0.83	0.00622328335016146	0.0249281240886234	1.33074763378164
"LIN7C"	11.12	15.1	17.15	14.42	10.22	14.47	13.41	13.15	14.45	12.81	0.16	0.179068469285606	0.226631512558532	0.103148752429827
"LIN9"	3.13	2.54	4.4	4.05	2.52	2.73	2.82	2.38	3.53	2.61	0.33	0.0254646932396722	0.05693522421765	0.41072425835352
"LINC02203"	0.02	0	0	0	0	0	0	0	0	0	0.01	1	1	0
"LINC02210-CRHR1"	3.16	3.2	4.07	2.77	2.71	2.5	3.39	2.21	3.3	2.7	0.22	0.0431310190172783	0.0786525755699203	0.242943151292758
"LINC02218"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LINGO1"	0	0	0	0	0.11	0	0	0	0	0.03	-0.04	1	1	0
"LINGO2"	0.08	0.05	0.35	0.22	0.34	0.02	0.06	0.06	0.17	0.12	0.07	0.605430264912349	0.654207828181692	0.012899898442067
"LINGO3"	0.05	0.04	0.05	0.1	0.08	0.02	0	0	0.06	0.02	0.05	1	1	0
"LINGO4"	0.03	0.12	0.09	0	0.04	0.06	0.41	0.09	0.06	0.15	-0.12	0.245496224367571	0.293502226436419	-0.0638866319942024
"LINS1"	6.61	7.5	10.93	9.46	7.23	10.55	9.16	7.01	8.63	8.49	0.02	0.13860480831865	0.184424772767887	0.0146836148593804
"LIPA"	65.08	90.44	62.9	90.73	57.54	90.96	72.47	66.06	77.28	71.76	0.11	1	1	0
"LIPC"	6.32	4.63	2.98	7.63	16.03	10.23	8.24	17.55	5.39	13.01	-1.13	0.00732971786285311	0.0274903602240435	-1.76372611328256
"LIPE"	11.36	12.54	11.23	12.24	13.63	15.16	17.39	16.86	11.84	15.76	-0.38	0.0118240029127003	0.0365700842437081	-0.546012134899723
"LIPF"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LIPG"	64.27	55.98	22.93	14.08	55.46	13.23	11.51	9.75	39.32	22.49	0.78	0.0107638454981528	0.034663106470754	1.13890336471717
"LIPH"	48.42	49.13	42.75	40.01	78.52	52.47	58.94	63.74	45.08	63.42	-0.48	0.00248352238079161	0.0137058965155369	-0.894284424761402
"LIPI"	0.22	0.34	0.34	0.03	0.32	0.05	0.26	0.11	0.23	0.18	0.05	1	1	0
"LIPJ"	0	0	0	0	0.09	0.03	0	0.21	0	0.08	-0.11	1	1	0
"LIPK"	1.11	1.11	0.45	0.9	0.77	0.18	0.08	0.11	0.89	0.29	0.56	0.00262127924680487	0.0141807793660253	1.03504794398128
"LIPM"	0	0.05	0.04	0	0	0	0	0	0.02	0	0.03	1	1	0
"LIPN"	0.01	0	0	0.03	0	0	0	0	0.01	0	0.02	1	1	0
"LIPT1"	6.16	6.01	10.67	7.02	5.15	7.15	12.85	7.6	7.47	8.19	-0.12	0.493147616304639	0.54132732570649	-0.0319848059482576
"LIPT2"	1.75	1.9	1.97	1.94	2.22	4.31	4.69	4.82	1.89	4.01	-0.79	0.00304409063056842	0.015662977410089	-1.42604928595961
"LITAF"	400.41	296.58	339.34	189.52	514.19	478.85	550.62	481.13	306.46	506.2	-0.72	0.000916916500362515	0.00725017526566061	-1.54054907616375
"LITAFD"	0	0	0	0	0	0	0	0.3	0	0.07	-0.1	1	1	0
"LIX1"	0.06	0.09	0.11	0.09	0.11	0.02	0.06	0.11	0.09	0.08	0.02	0.298345978129661	0.346097120131896	0.00921604028895303
"LIX1L"	4.71	3.8	4.93	3.83	4.58	4.74	4.64	4.32	4.32	4.57	-0.07	0.0407342534305779	0.0758307356298095	-0.0784108311648228
"LKAAEAR1"	0.12	0.16	0.13	0.07	0	0	0	0.28	0.12	0.07	0.07	1	1	0
"LLCFC1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LLGL1"	20.66	18.2	16.96	22.04	19.75	16.16	16.9	19.37	19.46	18.05	0.1	0.321618712689703	0.369268528512594	0.0432657704197748
"LLGL2"	50.39	54.85	52.8	48.8	39.21	48.57	77.38	68.62	51.71	58.44	-0.17	0.65564514389181	0.704657832344506	-0.0258436918017077
"LLPH"	31	36.78	39.71	36.76	30.22	33.49	27.44	24.16	36.06	28.83	0.31	0.0141870670336507	0.0406191207529853	0.431293539304344
"LMAN1"	129.55	154.12	176.62	138.82	81.05	64.72	97.07	64.27	149.78	76.78	0.96	5.50195230821773e-05	0.00158623156785924	2.68764807494916
"LMAN1L"	0	0.41	0	0	0	0	0	0	0.1	0	0.14	1	1	0
"LMAN2"	107.04	120.16	118.36	112.02	123.98	119.33	124.66	126.33	114.39	123.58	-0.11	0.0141171116153713	0.0405407902419959	-0.153131856907528
"LMAN2L"	20.71	21.52	20.11	25.12	17.65	17.81	19.77	18.79	21.87	18.51	0.23	0.0121155747517101	0.0371397204459212	0.328937114998408
"LMBR1"	16.21	18.97	18.56	14.76	21.43	24.55	25.27	26.12	17.13	24.34	-0.48	0.000423692015202053	0.00447212900335842	-1.12775312508035
"LMBR1L"	40.33	41.33	52.05	46.56	42.78	45.25	48.09	39.09	45.07	43.8	0.04	0.0532478531835685	0.0904617531592566	0.0417413999932467
"LMBRD1"	70.21	70.61	79.71	75.67	66.56	106.24	101.95	104.49	74.05	94.81	-0.35	0.0158466084900468	0.0433393211406582	-0.477091263485788
"LMBRD2"	8.9	10.36	12.56	9.32	9.71	11.3	12.41	11.27	10.29	11.17	-0.11	0.0707036727099362	0.110854720364093	-0.105077039015335
"LMCD1"	12.56	7.46	11.58	7.29	12.64	7.02	7.97	8.05	9.72	8.92	0.11	0.820021037601369	0.870593321647401	0.00662031355198308
"LMF1"	10.85	12.78	8.21	11.81	9.12	11.97	11.97	10.59	10.91	10.91	0	0.181395906949525	0.229026296657218	0
"LMF2"	36.65	40.91	38.54	50.73	37.83	37.53	36.88	36.99	41.71	37.31	0.16	0.0469253411817256	0.0831757731747945	0.172800504540937
